Bocconi_Test;GPA;Course;Decision;Academic_Year;Session;Bocconi_Score
39.47;8.9;BESS;reject;26-27;Winter;0.834670
28.0;9.4;BGL;reject;26-27;Winter;0.731000
38.1;9.42;BAI;reject;26-27;Winter;0.843000
40.4;9.3;BIEM;reject;26-27;Winter;0.862900
34.0;9.94;BEMACS;reject;26-27;Winter;0.821300
40.27;9.0;BIG;reject;26-27;Winter;0.847970
39.6;9.55;BIEM;accept;26-27;Winter;0.865350
40.4;9.5;BIEF;accept;26-27;Winter;0.871900
31.72;9.55;BIEM;reject;26-27;Winter;0.778670
44.07;9.45;BEMACS;reject;26-27;Winter;0.909970
36.53;9.9;BIG;accept;26-27;Winter;0.847330
35.2;9.5;BEMACC;reject;26-27;Winter;0.814700
35.0;9.56;BGL;accept;26-27;Winter;0.815200
43.87;9.85;BIEF;accept;26-27;Winter;0.925820
38.4;9.57;BIEF;reject;26-27;Winter;0.853050
40.2;9.62;BEMACS;accept;26-27;Winter;0.875100
43.0;9.9;BIEF;accept;26-27;Winter;0.918500
44.07;9.45;BIEM;accept;26-27;Winter;0.909970
44.0;9.64;BESS;accept;26-27;Winter;0.917800
39.8;9.1;BEMACC;reject;26-27;Winter;0.847300
46.4;9.6;BIEF;accept;26-27;Winter;0.942400
39.6;9.6;BIEM;accept;26-27;Winter;0.867600
43.0;9.64;BIEF;accept;26-27;Winter;0.906800
36.53;9.9;BIEF;accept;26-27;Winter;0.847330
28.6;9.29;BIEM;reject;26-27;Winter;0.732650
39.0;7.4;BIEM;accept;26-27;Winter;0.762000
26.8;8.95;CLEACC;reject;26-27;Winter;0.697550
40.07;8.9;BIEF;reject;26-27;Winter;0.841270
36.4;9.0;BIEF;accept;26-27;Winter;0.805400
39.8;8.34;BIEF;reject;26-27;Winter;0.813100
35.07;10.0;BESS;accept;26-27;Winter;0.835770
44.2;8.1;BIEM;reject;26-27;Winter;0.850700
36.07;8.3;BGL;accept;26-27;Early;0.769270
32.67;9.3;BGL;accept;26-27;Early;0.777870
42.67;9.54;BIEF;accept;26-27;Early;0.898670
35.6;9.0;BIEF;reject;26-27;Early;0.796600
39.47;8.87;BESS;reject;26-27;Early;0.833320
29.2;9.16;BIEM;reject;26-27;Early;0.733400
39.8;9.67;BIEF;accept;26-27;Early;0.872950
31.07;8.12;BGL;reject;26-27;Early;0.707170
34.8;9.85;BIEM;accept;26-27;Early;0.826050
37.0;9.08;BIEF;accept;26-27;Early;0.815600
30.8;9.8;BIEM;reject;26-27;Early;0.779800
39.4;10.0;BIEF;accept;26-27;Early;0.883400
32.0;10.0;BESS;accept;26-27;Early;0.802000
38.3;9.94;BIEF;accept;26-27;Early;0.868600
42.0;8.2;CLEAM;accept;26-27;Early;0.831000
43.87;9.84;BIEF;accept;26-27;Early;0.925370
36.0;9.44;BIEM;reject;26-27;Early;0.820800
33.13;8.25;CLMG;accept;26-27;Early;0.735680
46.0;8.95;BIEF;reject;26-27;Early;0.908750
41.67;9.32;BIEM;accept;26-27;Early;0.877770
38.0;7.0;CLEAM;accept;25-26;Winter;0.733000
36.0;9.2;BIEM;accept;25-26;Winter;0.810000
23.0;8.2;BGL;reject;25-26;Winter;0.622000
32.07;9.49;BIEF;accept;25-26;Winter;0.779820
35.6;8.2;BIEF;accept;25-26;Winter;0.760600
45.07;9.86;BIEF;accept;25-26;Winter;0.939470
30.2;10.0;BEMACS;accept;25-26;Winter;0.782200
39.0;9.3;BIEF;accept;25-26;Winter;0.847500
31.6;8.8;BEMACC;reject;25-26;Winter;0.743600
38.0;9.97;BEMACS;accept;25-26;Winter;0.866650
32.0;10.0;BIEM;reject;25-26;Winter;0.802000
35.0;9.5;BIEM;reject;25-26;Winter;0.812500
41.8;8.45;BEMACS;reject;25-26;Winter;0.840050
23.57;8.2;BGL;reject;25-26;Winter;0.628270
34.6;8.6;BIEM;reject;25-26;Winter;0.767600
33.4;9.0;BIEM;reject;25-26;Winter;0.772400
26.4;8.2;BIEM;reject;25-26;Winter;0.659400
40.47;9.2;BIEF;reject;25-26;Winter;0.859170
37.87;9.43;BEMACS;accept;25-26;Winter;0.840920
37.8;9.35;BIEM;accept;25-26;Winter;0.836550
34.0;9.1;BIEM;accept;25-26;Winter;0.783500
35.67;9.5;BIEM;accept;25-26;Winter;0.819870
35.27;9.3;BIEM;accept;25-26;Winter;0.806470
35.8;9.2;BIEM;accept;25-26;Winter;0.807800
40.6;9.03;BIEM;accept;25-26;Winter;0.852950
34.2;6.91;CLEAM;accept;25-26;Winter;0.687150
30.75;9.4;BGL;accept;25-26;Winter;0.761250
35.8;9.62;BIEF;accept;25-26;Winter;0.826700
38.0;6.95;CLEAM;accept;25-26;Winter;0.730750
34.67;8.1;BIEF;accept;25-26;Winter;0.745870
37.0;9.13;BIEM;accept;25-26;Winter;0.817850
33.0;9.6;BIEF;accept;25-26;Winter;0.795000
33.6;7.5;BIEF;accept;25-26;Winter;0.707100
37.8;9.62;BEMACS;accept;25-26;Winter;0.848700
29.8;9.52;BGL;accept;25-26;Winter;0.756200
32.0;7.23;BIEF;accept;25-26;Winter;0.677350
37.2;9.35;BIEM;accept;25-26;Winter;0.829950
37.47;9.74;BEMACS;accept;25-26;Winter;0.850470
43.4;7.0;BIEF;accept;25-26;Winter;0.792400
37.0;9.19;BEMACC;accept;25-26;Winter;0.820550
41.6;9.55;BIEF;accept;25-26;Winter;0.887350
30.4;9.09;BESS;reject;25-26;Early;0.743450
40.2;9.0;BIEF;accept;25-26;Early;0.847200
36.2;9.33;BIEF;accept;25-26;Early;0.818050
33.07;9.9;BESS;accept;25-26;Early;0.809270
27.87;7.58;CLMG;accept;25-26;Early;0.647670
41.0;9.69;BIEF;accept;25-26;Early;0.887050
43.2;8.85;BESS;accept;25-26;Early;0.873450
30.8;8.8;BESS;reject;25-26;Early;0.734800
42.8;9.49;BEMACS;accept;25-26;Early;0.897850
32.0;9.25;BIG;accept;25-26;Early;0.768250
29.0;8.53;BIEM;reject;25-26;Early;0.702850
46.4;8.83;BEMACC;accept;25-26;Early;0.907750
33.87;9.82;BAI;accept;25-26;Early;0.814470
40.27;9.16;BIEM;accept;25-26;Early;0.855170
37.8;7.75;CLEAM;accept;25-26;Early;0.764550
38.47;9.0;BIEF;accept;25-26;Early;0.828170
35.5;9.15;BESS;reject;25-26;Early;0.802250
36.0;9.83;BIEF;accept;25-26;Early;0.838350
38.0;8.1;BIEM;accept;25-26;Early;0.782500
31.5;9.6;BIEM;accept;25-26;Early;0.778500
40.87;9.0;BIEM;accept;24-25;Early;0.854570
37.0;9.66;BIEF;accept;24-25;Early;0.841700
36.3;7.83;BIEF;accept;24-25;Early;0.751650
32.5;8.0;BIG;accept;24-25;Early;0.717500
42.8;9.42;BIEM;accept;24-25;Early;0.894700
38.4;8.6;BIEF;accept;24-25;Early;0.809400
46.4;9.03;BIEF;accept;24-25;Early;0.916750
35.6;10.0;BIEM;accept;24-25;Early;0.841600
42.87;8.4;BIEF;accept;24-25;Early;0.849570
38.0;9.89;BEMACS;accept;24-25;Early;0.863050
35.87;9.63;BIEM;accept;24-25;Early;0.827920
39.07;9.25;BIEF;accept;24-25;Early;0.846020
31.7;9.3;BIEM;accept;24-25;Winter;0.767200
36.87;8.7;BIEM;reject;24-25;Winter;0.797070
33.4;10.0;BEMACS;accept;24-25;Winter;0.817400
40.0;8.25;BIEM;accept;24-25;Winter;0.811250
37.0;8.6;BIEM;accept;24-25;Winter;0.794000
24.4;7.8;CLMG;accept;24-25;Winter;0.619400
39.27;9.88;BIEF;accept;24-25;Winter;0.876570
38.8;9.16;BIEF;accept;24-25;Winter;0.839000
37.73;9.83;BIEF;accept;24-25;Winter;0.857380
30.0;8.5;BIEM;reject;24-25;Winter;0.712500
32.87;10.0;BGL;accept;24-25;Winter;0.811570
41.6;8.5;BIEF;accept;24-25;Winter;0.840100
32.07;9.55;BIEM;reject;24-25;Winter;0.782520
38.0;8.8;BIEM;accept;24-25;Winter;0.814000
38.2;8.25;BIEM;accept;24-25;Winter;0.791450
40.6;9.55;BIEF;accept;24-25;Winter;0.876350
40.8;9.12;BIEM;accept;24-25;Winter;0.859200
34.0;9.92;BIEF;accept;24-25;Winter;0.820400
